study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Elyiahuetak2015;74;Robbers;Non-Experimental;NA;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;no;NA;female;73;43.4;39.30241723;391;40.3;35.59269588;0.074107972;0.01322901
Elyiahuetak2015;75;Robbers;Non-Experimental;NA;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;no;NA;female;514;0.107;0.249387249;514;0.096;0.090686272;0.108480643;0.01230472
Ferreiraetal2020;76;Robbers;Non-Experimental;Obligatory;Cleistocactus_baumanii;Cleistocactus_baumanii;Cleistocactus;Cactaceae;yes;insect-bird;female;15;542;236;15;825;215;-0.420117385;0.017167326
Fumero-Caban&Melendez-Ackerman_2013;77;Robbers;Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;visitation;5;0.007;2.24E-04;5;0.045;0.002236068;-1.860752341;0.000697909
Fumero-Caban&Melendez-Ackerman_2013;78;Robbers;Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;visitation;5;0.16;0.002236068;5;0.23;0.067082039;-0.362905494;0.017052295
Fumero-Caban&Melendez-Ackerman_2013;79;Robbers;Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;female;6;50;28.16913204;6;39.26;54.72160085;-0.241816817;0.285431781
Fumero-Caban&Melendez-Ackerman_2013;80;Robbers;Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;nectar;20;70.46;16.09968944;20;70.5;12.47725931;-0.000567537;0.004176615
Fumero-Caban&Melendez-Ackerman_2013;81;Robbers;Non-Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;male;6;2.7;0.391918359;6;2.6;0.416413256;0.037740328;0.007751317
Fumero-Caban&Melendez-Ackerman_2013;82;Robbers;Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;nectar;20;1.54;0.290688837;20;1.47;0.415908644;0.046520016;0.005783997
Fumero-Caban&Melendez-Ackerman_2013;83;Robbers;Non-Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;female;15;257.42;117.3513954;15;234.62;64.67882188;0.092741808;0.020887135
