study;sample;Larcenist_type;type_study;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Carrio&Guemes2019;28;Robbers;Non-Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;insect-insect;female;20;72.8;8.3;20;77.8;11.1;-0.066425476;0.001667712
Richmanetal_2018;165;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;40;2.14;1.39140217;40;2.25;1.075174404;-0.050124387;0.016277251
Heillingetal_2018;101;Robbers;Non-Experimental;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;insect-insect;female;15;57.6;2.2;15;60.4;2.7;-0.047466537;0.000230472
Castroetal_2008;34;Robbers;Non-Experimental;Polygala_vayredae;Polygala_vayredae;Polygala;Polygalaceae;self_incompatible;insect-insect;female;200;7.86;1.1;200;8.23;1.42;-0.045999408;0.000246778
Irwin&Brody1999;243;Robbers;Non-Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;7;0.9;0.011338934;9;0.94;0.01;-0.043485112;3.53E-05
Varmaetal2020;197;Robbers;Non-Experimental;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;self_compatible;insect-insect;female;30;0.49;0.097;30;0.51;0.097;-0.040005335;0.00251208
Utelli&Roy2001;187;Robbers;Non-Experimental;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;self_compatible;insect-insect;female;23;2.5;0.959;23;2.6;0.959;-0.039220713;0.012312889
Mayeretal_2014;131;Robbers;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;self_compatible;insect-insect;female;30;78.1;10.4;30;81.1;7.2;-0.037692904;0.000853801
Tameles&Pan_2022;184;Robbers;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;insect-insect;female;44;135;119.3984925;35;139;136.069835;-0.029199155;0.045157313
Zhangetal_2010a;217;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;286;2.61;20.632;206;2.68;13.922;-0.026466573;0.349490574
Irwinetal2015;250;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;male;30;75.78;0.629880941;30;77.8;0.637183909;-0.026307026;4.54E-06
Zhangetal2011;236;Robbers;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;self_compatible;NA;female;60;47.4;24.012;60;48.6;21.689;-0.025001302;0.00759646
Zhangetal2011;237;Robbers;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;self_compatible;NA;female;60;47.5;19.365;60;48.6;22.463;-0.02289382;0.006330613
Heillingetal_2018;102;Robbers;Experimental;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;insect-insect;female;5;0.73;0.05;5;0.74;0.04;-0.013605652;0.00152263
Zhangetal2009a;232;Robbers;Non-Experimental;Corydalis_tomentella;Corydalis_tomentella;Corydalis;Papaveraceae;self_compatible;insect-insect;female;73;97.2;5.126;118;98.4;4.345;-0.012270093;5.46E-05
Carrio&Guemes2019;29;Robbers;Non-Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;insect-insect;female;20;62.8;7.8;20;63.3;8.9;-0.007930256;0.001759752
Varmaetal2020;198;Robbers;Non-Experimental;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;self_compatible;insect-insect;female;29;3.79;0.28;29;3.82;0.42;-0.007884404;0.000605053
Santosetal2020;172;Robbers;Non-Experimental;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;insect-bird;female;300;43.2;18.3;300;43.4;18.3;-0.004618946;0.001190809
Morris_1996;143;Robbers;Non-Experimental;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;self_compatible;insect-insect;female;50;5.39;1.98;50;5.41;2.121;-0.003703708;0.005772967
Elyiahuetak2015;72;Robbers;Non-Experimental;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;self_incompatible;NA;female;391;0.122;0.237284639;391;0.122;0.0988686;0;0.011354475
Varma&Sinu2019;193;Robbers;Non-Experimental;Sesamum_radiatum;Sesamum_radiatum;Sesamum;Pedaliaceae;self_compatible;insect-insect;female;29;3.8;0.26;29;3.8;0.27;0;0.000335514
Rojas-Nossaetal2016;167;Robbers;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;self_compatible;insect-insect;male;50;2032.197;385.97;50;2024.621;385.976;0.003734951;0.001448329
Dedej&Delaplane_2005;64;Robbers;Non-Experimental;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;insect-insect;female;103;13.9;3.04466747;97;13.8;2.954657341;0.007220248;0.000938404
Rojas-Nossaetal2016;168;Robbers;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;self_compatible;insect-insect;female;50;1.21;0.06;50;1.187;0.065;0.019191244;0.00010915
